Property Name,Portfolio Manager ID,Street Address,Street Address 2,City/Municipality,State/Province,Other State/Province,Postal Code,Country,Year Built,Self-Selected Primary Function,Construction Status,Gross Floor Area,GFA Units,Occupancy (%),Number of Buildings,How Many Buildings?,Parent Property Name (if Applicable),Parent Property ID,Is this Property Owned or Operated by the US or Canadian Federal Government?,Federal Agency/Department
IL0054ZZ - CLARK FEDERAL BLDG,1608749,536 S CLARK STREET,,CHICAGO,Illinois,,60605,United States,1912,Office,Existing,689733,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0059ZZ - DANVILLE FB CTHSE,1165526,201 N VERMILLION STREET,,DANVILLE,Illinois,,61832,United States,1911,Courthouse,Existing,67845,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0154ZZ - PEORIA FB CTHSE,1165544,100 NE MONROE,,PEORIA,Illinois,,61601,United States,1938,Courthouse,Existing,118883,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0173ZZ - FINDLEY FED BLDG,1165522,600 E MONROE STREET,,SPRINGFIELD,Illinois,,62701,United States,1930,Courthouse,Existing,139164,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0200ZZ - BENTON FB CTHSE,1165534,301 W MAIN,,BENTON,Illinois,,62812,United States,1959,Office,Existing,32761,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0206ZZ - WL BEATTY FB & CTHSE,1165558,501 BELLE STREET,,ALTON,Illinois,,62002,United States,1972,Office,Existing,34159,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0214ZZ - SSA DIST OFF BLDG,1736110,2401 LIND STREET,,QUINCY,Illinois,,62301,United States,1972,Office,Existing,6073,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0220ZZ - EAST ST LOUIS FB,1583504,650 MISSOURI AVE,,EAST ST LOUIS,Illinois,,62201,United States,1966,Office,Existing,33959,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0222ZZ - MT VERNON FED BLDG,1165542,105 S SIXTH STREET,,MT VERNON,Illinois,,62864,United States,1973,Office,Existing,19578,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0240ZZ - PAUL SIMON FED BLDG,1165516,250 W CHERRY STREET,,CARBONDALE,Illinois,,62901,United States,1978,Office,Existing,39019,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0300ZZ - GSA INTERAG MTR POOL,2629979,701 S CLINTON STREET,,CHICAGO,Illinois,,606074300,United States,1973,Office,Existing,1290,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0302ZZ - URBANA FB  & CTHSE,1731745,201 S VINE,,URBANA,Illinois,,61801,United States,1994,Courthouse,Existing,51680,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0303ZZ - METCALFE FED BLDG,1165562,77 W JACKSON,,CHICAGO,Illinois,,60604,United States,1991,Office,Existing,840365,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0311ZZ-ROSZKOWSKI FED CTHS,2999306,327 S CHURCH STREET,,ROCKFORD,Illinois,,61101,United States,2012,Office,Existing,211320,Sq. Ft.,100,None,0,,,Yes,Other
IL0315ZZ-CONSUMER BUILDING,2629980,220 S STATE STREET,,CHICAGO,Illinois,,60604,United States,2008,Office,Existing,198400,Sq. Ft.,100,One,1,,,Yes,Other
IL0317ZZ - GSA BUILDING,2629981,18 W. JACKSON BLVD STR,,CHICAGO,Illinois,,606043908,United States,1911,Office,Existing,7535,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IL0318ZZ-CENTURY BUILDING,2629982,202 S STATE STREET,,CHICAGO,Illinois,,60604,United States,2006,Office,Existing,67425,Sq. Ft.,100,One,1,,,Yes,Other
IL2125ZZ-11 West Quincy,2629983,11 W QUINCY COURT,,CHICAGO,Illinois,,60604,United States,1985,Office,Existing,120593,Sq. Ft.,100,One,1,,,Yes,Other
IL2477ZZ-NO NAME,4337847,6100 EVERETT MCKINLEY DIRKSEN PARKWAY,,PEORIA,Illinois,,61607,United States,2011,Office,Existing,2600,Sq. Ft.,100,One,1,,,Yes,Other
IN0000JF - GSA FED CTR,2629985,1201 EAST 10TH STREET,,JEFFERSONVILLE,Indiana,,471304278,United States,1952,Office,Existing,23153,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0031ZZ - E ROSS ADAIR FB CT,1165528,1300 S HARRISON STREET,,FORT WAYNE,Indiana,,46802,United States,1932,Courthouse,Existing,113586,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0048ZZ - BIRCH BAYH FEDERAL BUILDING & U.S. COURTHOUSE,1165554,46 EAST OHIO STREET,,INDIANAPOLIS,Indiana,,46204,United States,1905,Courthouse,Existing,546469,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0057ZZ - CHARLES A HALLECK FB,1165552,230 N 4TH STREET,,LAFAYETTE,Indiana,,47901,United States,1932,Courthouse,Existing,65061,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0096ZZ - ROBERT GRANT FB CT,1165532,204 S MAIN STREET,,SOUTH BEND,Indiana,,46601,United States,1933,Courthouse,Existing,135972,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0126ZZ - LEE HAMILTON FB CT,1165518,121 W SPRING STREET,,NEW ALBANY,Indiana,,47150,United States,1966,Courthouse,Existing,40762,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0133ZZ - MINTON-CAPEHART FB,1559123,575 N PENNSYLVANIA,,INDIANAPOLIS,Indiana,,46204,United States,1974,Office,Existing,636046,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0300ZZ - HAMMOND US CTHSE,1165574,5400 FEDERAL PLAZA,,HAMMOND,Indiana,,46320,United States,2002,Courthouse,Existing,295096,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN0621NH - DISPOSAL BUILDING,2999307,15411 DAWKINS RD,,NEW HAVEN,Indiana,,46774,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
IN1703ZZ - EMMETT BEAN FED CTR,1154571,8899 EAST 56TH STREET,,INDIANAPOLIS,Indiana,,46249,United States,1953,Office,Existing,1659139,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
John Weld Peck Federal Building,3641424,550 Main Street,,Cincinnati,Ohio,,45202,United States,1962,Office,Existing,791748,Sq. Ft.,80,One,1,,,Yes,General Services Administration (GSA)
KS0070ZZ - WICHITA U.S. COURTHOUSE,1534769,401 N MARKET ST,,WICHITA,Kansas,,67201,United States,1932,Courthouse,Existing,174767,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
"KS0085ZZ - SSA KANSAS CITY, KS",1513380,850 NEBRASKA,,KANSAS CITY,Kansas,,66101,United States,1972,Office,Existing,14861,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KS0092ZZ - FRANK CARLSON CHFB,1448874,444 S.E. QUINCY,,TOPEKA,Kansas,,66683,United States,1977,Courthouse,Existing,325083,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KS0094ZZ - ROBERT J DOLE U.S. COURTHOUSE,1530752,500 STATE AVENUE,,KANSAS CITY,Kansas,,66101,United States,1994,Courthouse,Existing,286446,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0000AB - LONDON FB-CT,2629987,300 S MAIN STREET,,LONDON,Kentucky,,407411907,United States,2002,Courthouse,Existing,111023,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0006ZZ - NATCHER FED BLD COURTHSE,2629988,242 E MAIN STREET,,BOWLING GREEN,Kentucky,,421012141,United States,1913,Courthouse,Existing,32445,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0013ZZ - COVINGTON COURTHOUSE,2629989,30 6TH STREET W,,COVINGTON KY,Kentucky,,410110000,United States,1999,Courthouse,Existing,116919,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0042ZZ - LEXINGTON COURTHOUSE,2629990,101 BARR STREET,,LEXINGTON,Kentucky,,405071313,United States,1934,Courthouse,Existing,99221,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0045ZZ - GENE SNYDER COURTHOUSE,1078,601 W BROADWAY,,LOUISVILLE,Kentucky,,40202,United States,1932,Courthouse,Existing,404851,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0058ZZ - OWENSBORO FED BLDG CTHSE,2629992,423 FREDERICA STREET,,OWENSBORO,Kentucky,,423013013,United States,1911,Office,Existing,35693,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0059ZZ - PADUCAH FED BLDG & CTHSE,1080,501 BROADWAY,,PADUCAH,Kentucky,,42001,United States,1938,Office,Existing,57221,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0062ZZ - PIKESVILLE PO & COURTHSE,2629993,102 MAIN STREET,,PIKEVILLE,Kentucky,,415011144,United States,1932,Courthouse,Existing,26795,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
KY0086ZZ-MAZZOLI FEDERAL BLDG,2629994,"600 M.L. KING, JR. PLAC",,LOUISVILLE,Kentucky,,40202,United States,1973,Office,Existing,469770,Sq. Ft.,100,One,1,,,Yes,Other
KY0088ZZ-WATTS FEDERAL BLDG,1085,330 W BROADWAY,,FRANKFORT,Kentucky,,40601,United States,1985,Office,Existing,61193,Sq. Ft.,100,One,1,,,Yes,Other
KY0089ZZ - CD PERKINS FED BLDG CTHSE,2629995,1405 GREENUP AVENUE,,ASHLAND,Kentucky,,411017542,United States,1985,Courthouse,Existing,61712,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0000BR - BLDG 74-WAREHOUSE 6,2629996,2695 N SHERWOOD FOREST,,BATON ROUGE,Louisiana,,708155316,United States,1949,Non-Refrigerated Warehouse,Existing,42312,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0000BT - BATON ROUGE FB CTHSE,2629997,707 FLORIDA AVENUE,,BATON ROUGE,Louisiana,,708011713,United States,1933,Office,Existing,259737,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0000NE - USBP COMPLEX NOLA,2629998,3819 PATTERSON ROAD,,NEW ORLEANS,Louisiana,,701141806,United States,1934,Other - Public Services,Existing,18226,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0000NL - FSS DEPOT WAREHSE 2,2629999,500 EDWARDS AVENUE,,HARAHAN,Louisiana,,701234230,United States,1943,Non-Refrigerated Warehouse,Existing,208493,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0002ZZ - ALEXANDRIA PO CTHS,1956276,515 MURRAY STREET,,ALEXANDRIA,Louisiana,,71301,United States,1933,Office,Existing,50362,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0029ZZ - MONROE FB PO CTHS,1971761,201 JACKSON STREET,,MONROE,Louisiana,,71201,United States,1934,Office,Existing,49148,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
LA0033ZZ - US CUSTOMHOUSE,2630000,423 CANAL STREET,,NEW ORLEANS,Louisiana,,701302329,United States,1881,Office,Existing,380825,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0034ZZ - F EDWARD HEBERT FB,1482486,600 SOUTH MAESTRI ST.,,NEW ORLEANS,Louisiana,,70130,United States,1939,Office,Existing,266523,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0035ZZ - J M WISDOM USCT APLS,1490147,600 CAMP STREET,,NEW ORLEANS,Louisiana,,70130,United States,1915,Office,Existing,214136,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0070ZZ - ELLENDER FB USPO,1939542,423 LAFAYETTE STREET,,HOUMA,Louisiana,,70360,United States,1972,Mailing Center/Post Office,Existing,66087,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
LA0072ZZ - OPEN LAND FDA SITE,2630001,ST CHARLES GIROD,,NEW ORLEANS,Louisiana,,701303713,United States,1964,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0085ZZ - HALE BOGGS FB CTHS,1488819,500 CAMP STREET,,NEW ORLEANS,Louisiana,,70130,United States,1976,Office,Existing,656040,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0098ZZ - SHREVEPORT CTHSE,1941770,300 FANNIN ST.,,SHREVEPORT,Louisiana,,71101,United States,1993,Office,Existing,221985,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
LA0099ZZ - JM SHAW COURTHOUSE,2384204,800 LAFAYETTE STREET,,LAFAYETTE,Louisiana,,70501,United States,1999,Office,Existing,197911,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0011ZZ - CPT JF WILLIAMS CG B,1101,408 ATLANTIC AV,,BOSTON,Massachusetts,,02210,United States,1918,Office,Existing,176013,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0013ZZ - J W MCCORMACK BLDG,1102,5 POST OFFICE SQ,,BOSTON,Massachusetts,,02109,United States,1933,Office,Existing,776861,Sq. Ft.,95,One,1,,,Yes,General Services Administration (GSA)
MA0050ZZ - MOAKLEY COURTHOUSE,1062619,1 COURTHOUSE WAY,,BOSTON,Massachusetts,,02109,United States,1998,Courthouse,Existing,915346,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
MA0051ZZ - SPRINGFIELD  FED CTHS,2630002,310 STATE STREET,,SPRINGFIELD,Massachusetts,,01105,United States,2008,Courthouse,Existing,166618,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0076ZZ-NEW BEDFORD CUSTOM HSE,1447199,37 NORTH SECOND STREET,,NEW BEDFORD,Massachusetts,,02740,United States,1986,Office,Existing,8345,Sq. Ft.,100,One,1,,,Yes,Other
MA0113ZZ - H DONOHUE FED BLDG CTHSE,1103,595 MAIN STREET,,WORCESTER,Massachusetts,,01608,United States,1932,Courthouse,Existing,107686,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0129ZZ - PHILIP J PHILBIN FED BLDG,1104,881 MAIN STREET,,FITCHBURG,Massachusetts,,01420,United States,1973,Office,Existing,132240,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0131ZZ - JFK FEDERAL BUILDING,1105,15 NEW SUDBURY STREET,15 New Sudbury Street,BOSTON,Massachusetts,,02203,United States,1966,Office,Existing,971779,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0136ZZ - FC MURPHY FED RECORDS CTR,1107,380 TRAPELO ROAD,,WALTHAM,Massachusetts,,021546399,United States,1966,Non-Refrigerated Warehouse,Existing,138215,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0138ZZ - SSA DISTRICT OFFICE,1108,MAIN & FOUNTAIN STREETS,,HAVERHILL,Massachusetts,,01830,United States,1973,Office,Existing,5964,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0153ZZ - TP O'NEILL FED BLDG,1109,10 CAUSEWAY STREET,,BOSTON,Massachusetts,,02222,United States,1986,Office,Existing,773445,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MA0158ZZ - H KEITH FEDERAL BLDG,1110,53 NORTH SIXTH STREET,,NEW BEDFORD,Massachusetts,,02740,United States,1974,Office,Existing,40141,Sq. Ft.,75,One,1,,,No,
MA0180ZZ - SO CONTE FEDERAL BLDG,1112,78 CENTER STREET,,PITTSFIELD,Massachusetts,,01201,United States,1977,Office,Existing,30518,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0000AG - SUITLAND FEDERAL CEN,2630003,4403 SUITLAND RD,,SUITLAND,Maryland,,20746,United States,1941,Office,Existing,1955611,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0000BW - CSPC CAMPUS,2999308,10901 DARNSTOWN RD,,GAITHERSBURG,Maryland,,20878,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0000HC - CMS HEADQUARTERS,2448359,7500 SECURITY BOULEVARD,,WOODLAWN,Maryland,,21207,United States,1995,Office,Existing,937173,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
MD0000WT-WHITE OAK AIR FORCE FAC,3296551,1 NEW HAMPSHIRE AVE.,,SILVER SPRING,Maryland,,20910,United States,2012,Office,Existing,0,Sq. Ft.,100,One,1,,,Yes,Other
MD0003ZZ - APPRAISERS STORES,2630004,103 SOUTH GAY STREET,,BALTIMORE,Maryland,,212027500,United States,1934,Office,Existing,169803,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0006ZZ - BALTIMORE CUSTOMHOUSE,2630005,40 SOUTH GAY STREET,,BALTIMORE,Maryland,,212024022,United States,1907,Office,Existing,178519,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0033ZZ - TOULSON FEDERAL BUILDING,2249801,129 E MAIN STREET,,SALISBURY,Maryland,,21801,United States,1925,Office,Existing,28823,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0055ZZ - GH FALLON FEDERAL BLDG,2448139,31 HOPKINS PLAZA,,BALTIMORE,Maryland,,21201,United States,1967,Office,Existing,649193,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0068ZZ-SSA METRO WEST,4200542,MULBERRY  GREENE ST,,BALTIMORE,Maryland,,21201,United States,1985,Office,Existing,1085741,Sq. Ft.,100,One,1,,,Yes,Other
MD0205ZZ - SS METRO CENTER 1,1671545,1335 EASTWEST HWY,,SILVER SPRING,Maryland,,20910,United States,1987,Office,Existing,191187,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0232ZZ - SOUTHERN MD COURTHSE,2630006,6500 CHERRYWOOD LANE,,GREENBELT,Maryland,,207811249,United States,1994,Courthouse,Existing,297016,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0278ZZ - NEW CARROLLTON FED,1671534,5000 ELLIN ROAD,,LANHAM,Maryland,,20706,United States,1997,Office,Existing,1111466,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0290ZZ - GAITHER DIST CTR 2,2999309,16050 INDUSTRIAL DR,,GAITHERSBURG,Maryland,,20877,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0325ZZ - CENSUS COMPUTER FAC,1671558,17101 MELFORD BLVD,,BOWIE,Maryland,,20715,United States,1997,Other,Existing,120560,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0331WO-BLDG 32 - OC && ORA,4123213,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,361254,Sq. Ft.,100,One,1,,,Yes,Other
MD0331ZZ - WHITE OAK CAMPUS,2630007,1 NEW HAMPSHIRE AVE,,SILVER SPRING,Maryland,,209100000,United States,1998,Office,Existing,407498,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0334ZZ-HARVEY W. WILEY FED BLDG.,1670018,PAINT BR PKY && RIVER RD,,COLLEGE PARK,Maryland,,20740,United States,2002,Office,Existing,441305,Sq. Ft.,100,One,1,,,Yes,Other
MD0731WO-FRC CHILD CARE CENTER,4428016,10903 NEW HAMPSHIRE AVE.  110,,SILVER SPRINGS,Maryland,,20993,United States,2014,Office,Existing,21935,Sq. Ft.,100,One,1,,,Yes,Other
MD0765WO-BLDG 64 - LIFE SCIENCES,4123214,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,149281,Sq. Ft.,100,One,1,,,Yes,Other
MD0767AG - NOAA SATELLITE,1702112,SUITLAND FEDERAL CENTER,,SUITLAND,Maryland,,20746,United States,2006,Office,Existing,208000,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0778AG - CENSUS BUREAU OFFICE,2630008,4600 SILVER HILL RD.,,SUITLAND,Maryland,,20746,United States,2006,Office,Existing,1324349,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0804WO-BLDG 22 - CDER OFFICE,4123215,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,452886,Sq. Ft.,100,One,1,,,Yes,Other
MD0810WO - CENTRAL UTILITY PLAN CUP,2999310,10903 NEW HAMPSHIRE,,SILVER SPRING,Maryland,,20993,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0810ZZ - FRC WHITE OAK CTRL,2630009,BLANDY ROAD,,SILVER SPRING,Maryland,,209040000,United States,1900,Office,Existing,40000,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD0811WO-CENTRAL SHARED USE 1,4123216,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,150214,Sq. Ft.,100,One,1,,,Yes,Other
MD0816WO-BLDG 62 - CDRH LAB,4123217,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,151999,Sq. Ft.,100,One,1,,,Yes,Other
MD0817WO-BLDG 66 - CDRH OFFICE,4123218,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,444097,Sq. Ft.,100,One,1,,,Yes,Other
MD0821WO-BLDG 51 - CDER OFFICE 2,4123219,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,336348,Sq. Ft.,100,One,1,,,Yes,Other
MD0822WO-BLDG 31 - OC && ORA,4123220,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,106125,Sq. Ft.,100,One,1,,,Yes,Other
MD0823WO-BUILDING ONE,4123221,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,98770,Sq. Ft.,100,One,1,,,Yes,Other
MD0825WO-FRC BUILDING 71 OFFICE,4428017,10903 NEW HAMPSHIRE AVE.,,SILVER SPRINGS,Maryland,,20993,United States,2014,Office,Existing,323402,Sq. Ft.,100,One,1,,,Yes,Other
MD0826WO-FRC BUILDING 52 LAB,4428018,10903 NEW HAMPSHIRE AVE.,,SILVER SPRINGS,Maryland,,20993,United States,2014,Office,Existing,279065,Sq. Ft.,100,One,1,,,Yes,Other
MD1440ZZ - GARMATZ COURTHOUSE,2448317,101 W LOMBARD STREET,,BALTIMORE,Maryland,,21201,United States,1973,Courthouse,Existing,474601,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
MD1851WO-CDER OFFICE - E WING,4123222,10903 NEW HAMPSHIRE AVE,,SILVER SPRINGS,Maryland,,20993,United States,2012,Office,Existing,118512,Sq. Ft.,100,One,1,,,Yes,Other
MD1877WO-CENTRAL UTILITY PLANT 2,4428019,FRC BLDG 102  10903 NEW HAMPSHIRE,,SILVER SPRING,Maryland,,20905,United States,2014,Office,Existing,46500,Sq. Ft.,100,One,1,,,Yes,Other
ME0000BC - USBS FERRY POINT,2630010,MAIN STREET-ROUTE 1,,CALAIS,Maine,,046199998,United States,1936,Other - Public Services,Existing,16803,Sq. Ft.,100,More Than One,3,,,Yes,General Services Administration (GSA)
ME0000BE-USBS COBURN GORE,2630011,STATE RT 27,,COBURN GORE,Maine,,04936,United States,1985,Other - Public Services,Existing,15760,Sq. Ft.,100,More Than One,5,,,Yes,General Services Administration (GSA)
ME0000BF (ME0601BF) - FORT FAIRFIELD LPOE,4269807,1 Boundary Line Rd,,Fort Fairfield,Maine,,04742,United States,1934,Other - Public Services,Existing,5753,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
ME0000BF-USBS FT FAIRFIELD,2630012,BOUNDARYLINE RD,,FORT FAIRFIELD,Maine,,04742,United States,1985,Office,Existing,5753,Sq. Ft.,100,One,1,,,Yes,Other
ME0000BH - USBS HOULTON,2630013,95 INTERSTATE,,HOULTON,Maine,,047309998,United States,1985,Other - Public Services,Existing,37562,Sq. Ft.,100,More Than One,3,,,Yes,General Services Administration (GSA)
ME0000BI - USBS CALAIS,2630014,USBS CALAIS,,CALAIS,Maine,,046190000,United States,2009,Other - Public Services,Existing,112525,Sq. Ft.,100,More Than One,2,,,Yes,General Services Administration (GSA)
ME0000BJ - USBS JACKMAN,2630015,INTERBOUNDARY LINE,,JACKMAN,Maine,,049459998,United States,2009,Other - Public Services,Existing,57285,Sq. Ft.,100,More Than One,3,,,Yes,General Services Administration (GSA)
ME0000BL-USBS LIMESTONE,2630016,RTE 229,,LIMESTONE,Maine,,04750,United States,1985,Office,Existing,3268,Sq. Ft.,100,One,1,,,Yes,Other
ME0000BP-LPOE ST PAMPHILE,4005571,ST FRANCIS TOWNSHIP,,SAINT FRANCIS,Maine,,04774,United States,2014,Office,Existing,2481,Sq. Ft.,100,One,1,,,Yes,Other
ME0000BT-USBS ORIENT,2630017,U S ROUTE 1,,ORIENT,Maine,,04471,United States,1985,Other - Public Services,Existing,4189,Sq. Ft.,100,More Than One,2,,,Yes,General Services Administration (GSA)
ME0000BV - USBS VANCEBORO,2630018,STATE RTE 6 WATER ST,,VANCEBORO,Maine,,044919998,United States,1964,Other - Public Services,Existing,7263,Sq. Ft.,100,More Than One,2,,,Yes,General Services Administration (GSA)
ME0000BX - USBS VAN BUREN,2390897,BRIDGE STREET,,VAN BUREN,Maine,,04785,United States,2013,Other - Public Services,Existing,44518,Sq. Ft.,100,More Than One,3,,,Yes,General Services Administration (GSA)
ME0000HO - USBP SEC HQ HOULTON,3543554,US ROUTE 1,,HOULTON,Maine,,04730,United States,1900,Other - Public Services,Existing,13331,Sq. Ft.,100,More Than One,2,,,Yes,General Services Administration (GSA)
ME0012BP - USBS ST. PAMPHILLE,2630019,ST. FRANCIS TOWNSHIP,,SAINT FRANCIS,Maine,,047749998,United States,1994,Other - Public Services,Existing,2085,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ME0034ZZ - ET GIGNOUX COURTHOUSE,1195,156 FEDERAL STREET,,PORTLAND,Maine,,04101,United States,1911,Courthouse,Existing,93537,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ME0035ZZ - PORTLAND CUSTOM HOUSE,1196,312 FORE STREET,,PORTLAND,Maine,,04101,United States,1871,Office,Existing,26943,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ME0051ZZ - USBS MADAWASKA,2630020,BRIDGE RD,,MADAWASKA,Maine,,047560000,United States,1961,Other - Public Services,Existing,8990,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ME0061ZZ - MC SMITH FEDERAL BLDG,1197,202 HARLOW STREET,,BANGOR,Maine,,04401,United States,1967,Office,Existing,183035,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ME0068ZZ-ES MUSKIE FEDERAL BLDG,1198,40 WESTERN AVENUE,,AUGUSTA,Maine,,04330,United States,1973,Office,Existing,113257,Sq. Ft.,100,One,1,,,Yes,Other
ME0074HO - USBP SEC HQ HOULTON,2391944,US ROUTE 1,,HODGDON,Maine,,04730,United States,1965,Other - Public Services,Existing,11627,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
ME0078ZZ - SSA PRESQUE ISLE,1199,MAIN STREET,,PRESQUE ISLE,Maine,,04769,United States,1970,Office,Existing,6731,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
